source,target
Hand1,http://www.dil.ie/33484
Hand1,http://www.dil.ie/31166
Hand1,http://www.dil.ie/3
Hand1,http://www.dil.ie/14451
Hand1,http://www.dil.ie/17788
Hand1,http://www.dil.ie/8
Hand1,http://www.dil.ie/27721
Hand1,http://www.dil.ie/35364
Hand1,http://www.dil.ie/22888
Hand1,http://www.dil.ie/15847
Hand1,http://www.dil.ie/17096
Hand1,http://www.dil.ie/12189
Hand1,http://www.dil.ie/13245
Hand1,http://www.dil.ie/4927
Hand1,http://www.dil.ie/32580
Hand1,http://www.dil.ie/3902
Hand1,http://www.dil.ie/8622
Hand1,http://www.dil.ie/29104
Hand1,http://www.dil.ie/19325
Hand1,http://www.dil.ie/17889
Hand1,http://www.dil.ie/28194
Hand1,http://www.dil.ie/8362
Hand1,http://www.dil.ie/37567
Hand1,http://www.dil.ie/26891
Hand1,http://www.dil.ie/36041
Hand1,http://www.dil.ie/9786
Hand1,http://www.dil.ie/6579
Hand1,http://www.dil.ie/33364
Hand1,http://www.dil.ie/41302
Hand1,http://www.dil.ie/2724
Hand1,http://www.dil.ie/978
Hand1,http://www.dil.ie/17098
Hand1,http://www.dil.ie/17216
Hand1,http://www.dil.ie/24329
Hand1,http://www.dil.ie/37356
Hand1,http://www.dil.ie/26931
Hand1,http://www.dil.ie/23128
Hand1,http://www.dil.ie/34833
Hand1,http://www.dil.ie/18526
Hand1,http://www.dil.ie/26892
Hand1,http://www.dil.ie/9788
Hand1,http://www.dil.ie/14711
Hand1,http://www.dil.ie/33147
Hand1,http://www.dil.ie/25119
Hand1,http://www.dil.ie/25293
Hand1,http://www.dil.ie/20198
Hand1,http://www.dil.ie/9416
Hand1,http://www.dil.ie/31569
Hand1,http://www.dil.ie/200
Hand1,http://www.dil.ie/31164
Hand1,http://www.dil.ie/5512
Hand1,http://www.dil.ie/40447
Hand1,http://www.dil.ie/4928
Hand1,http://www.dil.ie/17752
Hand1,http://www.dil.ie/2324
Hand1,http://www.dil.ie/29233
Hand1,http://www.dil.ie/37822
Hand1,http://www.dil.ie/27181
Hand1,http://www.dil.ie/35819
Hand1,http://www.dil.ie/5659
Hand1,http://www.dil.ie/22333
Hand1,http://www.dil.ie/22337
Hand1,http://www.dil.ie/6796
Hand1,http://www.dil.ie/8965
Hand1,http://www.dil.ie/18490
Hand1,http://www.dil.ie/32901
Hand1,http://www.dil.ie/6135
Hand1,http://www.dil.ie/7199
Hand1,http://www.dil.ie/15536
Hand1,http://www.dil.ie/36336
Hand1,http://www.dil.ie/29252
Hand1,http://www.dil.ie/1471
Hand1,http://www.dil.ie/39303
Hand1,http://www.dil.ie/27644
Hand1,http://www.dil.ie/13717
Hand1,http://www.dil.ie/35181
Hand1,http://www.dil.ie/14080
Hand1,http://www.dil.ie/14084
Hand1,http://www.dil.ie/5172
Hand1,http://www.dil.ie/42968
Hand1,http://www.dil.ie/39363
Hand1,http://www.dil.ie/42332
Hand1,http://www.dil.ie/10380
Hand1,http://www.dil.ie/8944
Hand1,http://www.dil.ie/34594
Hand1,http://www.dil.ie/8862
Hand1,http://www.dil.ie/7528
Hand1,http://www.dil.ie/33316
Hand1,http://www.dil.ie/8309
Hand1,http://www.dil.ie/5597
Hand1,http://www.dil.ie/7776
Hand1,http://www.dil.ie/20789
Hand1,http://www.dil.ie/15251
Hand1,http://www.dil.ie/29234
Hand1,http://www.dil.ie/5661
Hand1,http://www.dil.ie/10173
Hand1,http://www.dil.ie/10713
Hand1,http://www.dil.ie/37503
Hand1,http://www.dil.ie/19846
Hand4,http://www.dil.ie/31166
Hand4,http://www.dil.ie/33484
Hand4,http://www.dil.ie/28651
Hand4,http://www.dil.ie/17098
Hand4,http://www.dil.ie/17216
Hand4,http://www.dil.ie/24329
Hand4,http://www.dil.ie/12594
Hand4,http://www.dil.ie/19585
Hand4,http://www.dil.ie/3887
Hand4,http://www.dil.ie/17096
Hand4,http://www.dil.ie/18823
Hand4,http://www.dil.ie/35899
Hand4,http://www.dil.ie/33364
Hand4,http://www.dil.ie/28194
Hand4,http://www.dil.ie/42968
Hand4,http://www.dil.ie/18049
Hand4,http://www.dil.ie/9787
Hand4,http://www.dil.ie/3
Hand4,http://www.dil.ie/2475
Hand4,http://www.dil.ie/20188
Hand4,http://www.dil.ie/26891
Hand4,http://www.dil.ie/33452
Hand4,http://www.dil.ie/6133
Hand4,http://www.dil.ie/35283
Hand4,http://www.dil.ie/3853
Hand4,http://www.dil.ie/32580
Hand4,http://www.dil.ie/6699
Hand4,http://www.dil.ie/21665
Hand4,http://www.dil.ie/29778
Hand4,http://www.dil.ie/5299
Hand4,http://www.dil.ie/18059
Hand4,http://www.dil.ie/35846
Hand2,http://www.dil.ie/31166
Hand2,http://www.dil.ie/17098
Hand2,http://www.dil.ie/17216
Hand2,http://www.dil.ie/17096
Hand2,http://www.dil.ie/33484
Hand2,http://www.dil.ie/26891
Hand2,http://www.dil.ie/36041
Hand2,http://www.dil.ie/9786
Hand2,http://www.dil.ie/6579
Hand2,http://www.dil.ie/3
Hand2,http://www.dil.ie/21911
Hand2,http://www.dil.ie/12189
Hand2,http://www.dil.ie/41302
Hand2,http://www.dil.ie/9365
Hand2,http://www.dil.ie/28194
Hand2,http://www.dil.ie/10414
Hand2,http://www.dil.ie/32548
Hand2,http://www.dil.ie/8622
Hand2,http://www.dil.ie/29104
Hand2,http://www.dil.ie/33131
Hand2,http://www.dil.ie/33364
Hand2,http://www.dil.ie/20789
Hand2,http://www.dil.ie/37917
Hand2,http://www.dil.ie/5661
Hand2,http://www.dil.ie/3902
Hand2,http://www.dil.ie/7528
Hand2,http://www.dil.ie/33512
Hand2,http://www.dil.ie/10713
Hand2,http://www.dil.ie/19846
Hand2,http://www.dil.ie/31485
Hand2,http://www.dil.ie/17788
Hand2,http://www.dil.ie/24329
Hand3,http://www.dil.ie/35364
Hand3,http://www.dil.ie/5172
Hand3,http://www.dil.ie/32580
Hand3,http://www.dil.ie/33484
Hand3,http://www.dil.ie/28651
Hand3,http://www.dil.ie/3
Hand3,http://www.dil.ie/5644
Hand3,http://www.dil.ie/34490
Hand3,http://www.dil.ie/31166
Hand3,http://www.dil.ie/41302
Hand3,http://www.dil.ie/9365
Hand3,http://www.dil.ie/28194
Hand3,http://www.dil.ie/42968
Hand3,http://www.dil.ie/27181
Hand3,http://www.dil.ie/24329
Hand3,http://www.dil.ie/15847
Hand3,http://www.dil.ie/3887
Hand3,http://www.dil.ie/33364
Hand3,http://www.dil.ie/17993
Hand3,http://www.dil.ie/3902
Hand3,http://www.dil.ie/13717
Hand3,http://www.dil.ie/8908
Hand3,http://www.dil.ie/14084
Hand3,http://www.dil.ie/14787
Hand3,http://www.dil.ie/26897
Hand3,http://www.dil.ie/17788
Hand3,http://www.dil.ie/4041
Hand3,http://www.dil.ie/31966
Hand3,http://www.dil.ie/9787
Hand3,http://www.dil.ie/10455
Hand3,http://www.dil.ie/3853
Hand3,http://www.dil.ie/14080
Hand3,http://www.dil.ie/31438
Hand3,http://www.dil.ie/26891
Hand3,http://www.dil.ie/21911
Hand6,http://www.dil.ie/26891
Hand6,http://www.dil.ie/39303
Hand6,http://www.dil.ie/17098
Hand6,http://www.dil.ie/17216
Hand6,http://www.dil.ie/35931
Hand6,http://www.dil.ie/17096
Hand6,http://www.dil.ie/23272
Hand6,http://www.dil.ie/13406
Hand6,http://www.dil.ie/7528
Hand6,http://www.dil.ie/19139
Hand6,http://www.dil.ie/4927
Hand6,http://www.dil.ie/3902
Hand6,http://www.dil.ie/34834
Hand6,http://www.dil.ie/28194
Hand6,http://www.dil.ie/29677
Hand6,http://www.dil.ie/9787
Hand6,http://www.dil.ie/30091
Hand6,http://www.dil.ie/3913
Hand6,http://www.dil.ie/5661
Hand6,http://www.dil.ie/1402
Hand6,http://www.dil.ie/42083
Hand6,http://www.dil.ie/35364
Hand6,http://www.dil.ie/14069
Hand6,http://www.dil.ie/36636
Hand7,http://www.dil.ie/1364
Hand7,http://www.dil.ie/15847
Hand7,http://www.dil.ie/17096
Hand7,http://www.dil.ie/16570
Hand7,http://www.dil.ie/22333
Hand7,http://www.dil.ie/7832
Hand7,http://www.dil.ie/9397
Hand7,http://www.dil.ie/247
Hand7,http://www.dil.ie/391
Hand7,http://www.dil.ie/36788
Hand7,http://www.dil.ie/2515
Hand7,http://www.dil.ie/14787
Hand7,http://www.dil.ie/33925
Hand7,http://www.dil.ie/37981
Hand7,http://www.dil.ie/32908
Hand7,http://www.dil.ie/6052
Hand7,http://www.dil.ie/5813
Hand7,http://www.dil.ie/4000
Hand7,http://www.dil.ie/26891
Hand7,http://www.dil.ie/28194
Hand7,http://www.dil.ie/34833
Hand7,http://www.dil.ie/31365
Hand7,http://www.dil.ie/29233
Hand7,http://www.dil.ie/9324
Hand7,http://www.dil.ie/8562
Hand7,http://www.dil.ie/10201
Hand7,http://www.dil.ie/34047
Hand7,http://www.dil.ie/32400
Hand7,http://www.dil.ie/8622
Hand7,http://www.dil.ie/37625
Hand7,http://www.dil.ie/32909
Hand7,http://www.dil.ie/32253
Hand7,http://www.dil.ie/31705
Hand7,http://www.dil.ie/41608
Hand7,http://www.dil.ie/36454
Hand7,http://www.dil.ie/3902
Hand7,http://www.dil.ie/36341
Hand7,http://www.dil.ie/9511
Hand7,http://www.dil.ie/9787
Hand7,http://www.dil.ie/6579
Hand7,http://www.dil.ie/4927
Hand7,http://www.dil.ie/2
Hand7,http://www.dil.ie/16365
Hand7,http://www.dil.ie/8966
Hand7,http://www.dil.ie/5735
Hand7,http://www.dil.ie/14232
Hand7,http://www.dil.ie/17068
Hand7,http://www.dil.ie/12406
Hand7,http://www.dil.ie/32548
Hand7,http://www.dil.ie/3
Hand7,http://www.dil.ie/26118
Hand7,http://www.dil.ie/29104
Hand7,http://www.dil.ie/21294
Hand7,http://www.dil.ie/34769
Hand7,http://www.dil.ie/24329
Hand7,http://www.dil.ie/21925
Hand7,http://www.dil.ie/6057
Hand7,http://www.dil.ie/5416
Hand7,http://www.dil.ie/3048
Hand7,http://www.dil.ie/7528
Hand7,http://www.dil.ie/25071
Hand7,http://www.dil.ie/35364
Hand7,http://www.dil.ie/31160
Hand7,http://www.dil.ie/21846
Hand7,http://www.dil.ie/38847
Hand7,http://www.dil.ie/5318
Hand7,http://www.dil.ie/33164
Hand7,http://www.dil.ie/18592
Hand7,http://www.dil.ie/40049
Hand7,http://www.dil.ie/27721
Hand7,http://www.dil.ie/31438
Hand7,http://www.dil.ie/33512
Hand7,http://www.dil.ie/25119
Hand7,http://www.dil.ie/29234
Hand7,http://www.dil.ie/30835
Hand7,http://www.dil.ie/40490
Hand7,http://www.dil.ie/16086
Hand7,http://www.dil.ie/14345
Hand7,http://www.dil.ie/22134
Hand7,http://www.dil.ie/38191
Hand7,http://www.dil.ie/20990
Hand7,http://www.dil.ie/29507
Hand7,http://www.dil.ie/37822
Hand7,http://www.dil.ie/37352
Hand7,http://www.dil.ie/31417
Hand7,http://www.dil.ie/17062
Hand7,http://www.dil.ie/21924
Hand7,http://www.dil.ie/21749
Hand7,http://www.dil.ie/21751
Hand7,http://www.dil.ie/8971
Hand7,http://www.dil.ie/1581
Hand7,http://www.dil.ie/17047
Hand7,http://www.dil.ie/8885
Hand7,http://www.dil.ie/12497
Hand7,http://www.dil.ie/19385
Hand7,http://www.dil.ie/33783
Hand7,http://www.dil.ie/33364
Hand7,http://www.dil.ie/15975
Hand7,http://www.dil.ie/26218
Hand7,http://www.dil.ie/33484
Hand7,http://www.dil.ie/26495
Hand7,http://www.dil.ie/8787
Hand7,http://www.dil.ie/33147
Hand7,http://www.dil.ie/18386
Hand7,http://www.dil.ie/1163
Hand7,http://www.dil.ie/33250
Hand7,http://www.dil.ie/33116
Hand7,http://www.dil.ie/34476
Hand7,http://www.dil.ie/18811
Hand7,http://www.dil.ie/40356
Hand7,http://www.dil.ie/36233
Hand7,http://www.dil.ie/37139
Hand7,http://www.dil.ie/35318
Hand7,http://www.dil.ie/8344
Hand7,http://www.dil.ie/4184
Hand7,http://www.dil.ie/12513
Hand7,http://www.dil.ie/25568
Hand7,http://www.dil.ie/26709
Hand7,http://www.dil.ie/19325
Hand7,http://www.dil.ie/36807
Hand7,http://www.dil.ie/37834
Hand7,http://www.dil.ie/18124
Hand7,http://www.dil.ie/22707
Hand7,http://www.dil.ie/34389
Hand7,http://www.dil.ie/37567
Hand7,http://www.dil.ie/21665
Hand7,http://www.dil.ie/8581
Hand7,http://www.dil.ie/12997
Hand7,http://www.dil.ie/35901
Hand7,http://www.dil.ie/14319
Hand7,http://www.dil.ie/5134
Hand7,http://www.dil.ie/5971
Hand7,http://www.dil.ie/20420
Hand7,http://www.dil.ie/633
Hand7,http://www.dil.ie/26612
Hand7,http://www.dil.ie/26798
Hand7,http://www.dil.ie/26052
Hand7,http://www.dil.ie/34308
Hand7,http://www.dil.ie/15865
Hand7,http://www.dil.ie/14812
Hand7,http://www.dil.ie/36189
Hand7,http://www.dil.ie/27635
Hand7,http://www.dil.ie/33145
Hand7,http://www.dil.ie/200
Hand7,http://www.dil.ie/33070
Hand7,http://www.dil.ie/5276
Hand7,http://www.dil.ie/12717
Hand7,http://www.dil.ie/26931
Hand7,http://www.dil.ie/10473
Hand7,http://www.dil.ie/41316
Hand7,http://www.dil.ie/5444
Hand7,http://www.dil.ie/1679
Hand7,http://www.dil.ie/26835
Hand7,http://www.dil.ie/26020
Hand7,http://www.dil.ie/7825
Hand7,http://www.dil.ie/14080
Hand7,http://www.dil.ie/3887
Hand7,http://www.dil.ie/15020
Hand7,http://www.dil.ie/9788
Hand7,http://www.dil.ie/28446
Hand7,http://www.dil.ie/13652
Hand7,http://www.dil.ie/33244
Hand7,http://www.dil.ie/33322
Hand7,http://www.dil.ie/34270
Hand7,http://www.dil.ie/22171
Hand7,http://www.dil.ie/33562
Hand7,http://www.dil.ie/19189
Hand7,http://www.dil.ie/41835
Hand7,http://www.dil.ie/30036
Hand7,http://www.dil.ie/26788
Hand7,http://www.dil.ie/43210
Hand7,http://www.dil.ie/13749
Hand7,http://www.dil.ie/21975
Hand7,http://www.dil.ie/15783
Hand7,http://www.dil.ie/10380
Hand7,http://www.dil.ie/5826
Hand7,http://www.dil.ie/33397
Hand7,http://www.dil.ie/17788
Hand7,http://www.dil.ie/27374
Hand7,http://www.dil.ie/32972
Hand7,http://www.dil.ie/19508
Hand7,http://www.dil.ie/40973
Hand7,http://www.dil.ie/29580
Hand7,http://www.dil.ie/42228
Hand7,http://www.dil.ie/41302
Hand7,http://www.dil.ie/11379
Hand7,http://www.dil.ie/25351
Hand7,http://www.dil.ie/34562
Hand7,http://www.dil.ie/21211
Hand7,http://www.dil.ie/24053
Hand7,http://www.dil.ie/35354
Hand7,http://www.dil.ie/7800
Hand7,http://www.dil.ie/8205
Hand7,http://www.dil.ie/25080
Hand7,http://www.dil.ie/38630
Hand7,http://www.dil.ie/19094
Hand7,http://www.dil.ie/31029
Hand7,http://www.dil.ie/8437
Hand7,http://www.dil.ie/39454
Hand7,http://www.dil.ie/9786
Hand7,http://www.dil.ie/12925
Hand7,http://www.dil.ie/9470
Hand7,http://www.dil.ie/35181
Hand7,http://www.dil.ie/5885
Hand7,http://www.dil.ie/9738
Hand7,http://www.dil.ie/15433
Hand7,http://www.dil.ie/38677
Hand7,http://www.dil.ie/38572
Hand7,http://www.dil.ie/36491
Hand7,http://www.dil.ie/16190
Hand23,http://www.dil.ie/4041
Hand23,http://www.dil.ie/35181
Hand23,http://www.dil.ie/13060
Hand23,http://www.dil.ie/8622
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=834E5EF53F94BD4C1D7A34C5E5664656
Hand23,http://www.dil.ie/41798
Hand23,http://www.dil.ie/32548
Hand23,http://www.dil.ie/3623
Hand23,http://www.dil.ie/2930
Hand23,http://www.dil.ie/14575
Hand23,http://www.dil.ie/26716
Hand23,http://www.dil.ie/14597
Hand23,http://www.dil.ie/5534
Hand23,http://www.dil.ie/40489
Hand23,http://www.dil.ie/26087
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=581253AF71216382D80375D588100F3F
Hand23,http://www.dil.ie/6398
Hand23,http://www.dil.ie/21718
Hand23,http://www.dil.ie/19263
Hand23,http://www.dil.ie/16570
Hand23,http://www.dil.ie/24834
Hand23,http://www.dil.ie/26799
Hand23,http://www.dil.ie/32935
Hand23,http://www.dil.ie/41429
Hand23,http://www.dil.ie/29542
Hand23,http://www.dil.ie/7221
Hand23,http://www.dil.ie/8347
Hand23,http://www.dil.ie/29104
Hand23,http://www.dil.ie/7528
Hand23,http://www.dil.ie/2010
Hand23,http://www.dil.ie/29233
Hand23,http://www.dil.ie/5
Hand23,http://www.dil.ie/25119
Hand23,http://www.dil.ie/22290
Hand23,http://www.dil.ie/33484
Hand23,http://www.dil.ie/23272
Hand23,http://www.dil.ie/38009
Hand23,http://www.dil.ie/3902
Hand23,http://www.dil.ie/28194
Hand23,http://www.dil.ie/18161
Hand23,http://www.dil.ie/42968
Hand23,http://www.dil.ie/9786
Hand23,http://www.dil.ie/27606
Hand23,http://www.dil.ie/33364
Hand23,http://www.dil.ie/1842
Hand23,http://www.dil.ie/27105
Hand23,http://www.dil.ie/30272
Hand23,http://www.dil.ie/33925
Hand23,http://www.dil.ie/40940
Hand23,http://www.dil.ie/26020
Hand23,http://www.dil.ie/25565
Hand23,http://www.dil.ie/22171
Hand23,http://www.dil.ie/33596
Hand23,http://www.dil.ie/27115
Hand23,http://www.dil.ie/25996
Hand23,http://www.dil.ie/996
Hand23,http://www.dil.ie/17096
Hand23,http://www.dil.ie/35364
Hand23,http://www.dil.ie/10620
Hand23,http://www.dil.ie/31166
