source,target,type
MS5.1,http://www.dil.ie/34038,word
MS5.1,http://www.dil.ie/28194,word
MS5.1,http://www.dil.ie/8622,word
MS5.1,http://www.dil.ie/20176,word
MS5.1,http://www.dil.ie/13660,word
MS5.1,http://www.dil.ie/24329,word
MS5.1,http://www.dil.ie/39215,word
MS5.1,http://www.dil.ie/3,word
MS5.1,http://www.dil.ie/25843,word
MS5.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=321572E5FAC2732D1DB93F0D32D1D841,word
MS5.1,http://www.dil.ie/35470,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,https://www.faclair.com/ViewEntry.aspx?ID=DD22AA84B82C1B014736E4107353DCD6,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=8267A96478BE53C42A5BE6B09BA7281D,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/37848,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/13497,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=313BA6C305DA3793DF8FBC177E2C80C3,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=8AFB88CB566448AC8D5E1F39F731AC48,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/8622,word
MS5.1,http://www.dil.ie/8622,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,,word
MS5.1,http://www.dil.ie/26369,word
MS5.1,http://www.dil.ie/28194,word
MS5.1,http://www.dil.ie/19139,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/4927,word
MS5.1,http://www.dil.ie/37834,word
MS5.1,http://www.dil.ie/37567,word
MS5.1,http://www.dil.ie/17096,word
MS5.1,http://www.dil.ie/12406,word
MS5.1,http://www.dil.ie/254,word
MS5.1,http://www.dil.ie/18951,word
MS5.1,http://www.dil.ie/14080,word
MS5.1,http://www.dil.ie/38131,word
MS5.1,http://www.dil.ie/9680,word
MS5.1,http://www.dil.ie/8581,word
MS5.1,http://www.dil.ie/4927,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/33512,word
MS5.1,http://www.dil.ie/14728,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/33243,word
MS5.1,http://www.dil.ie/38123,word
MS5.1,http://www.dil.ie/17096,word
MS5.1,http://www.dil.ie/12406,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,,word
MS5.1,http://www.dil.ie/37567,word
MS5.1,http://www.dil.ie/17096,word
MS5.1,http://www.dil.ie/12406,word
MS5.1,http://www.dil.ie/24329,word
MS5.1,http://www.dil.ie/7528,word
MS5.1,http://www.dil.ie/33512,word
MS5.1,http://www.dil.ie/38123,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/38147,word
