source,target,type
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/3,word
MS1.1,http://www.dil.ie/27721,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/4927,word
MS1.1,http://www.dil.ie/3902,word
MS1.1,http://www.dil.ie/3,word
MS1.1,http://www.dil.ie/8622,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/29104,word
MS1.1,http://www.dil.ie/19325,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/37567,word
MS1.1,http://www.dil.ie/26891,word
MS1.1,http://www.dil.ie/9786,word
MS1.1,http://www.dil.ie/6579,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/3,word
MS1.1,http://www.dil.ie/37567,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/17098,word
MS1.1,http://www.dil.ie/24329,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/17098,word
MS1.1,http://www.dil.ie/3902,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/25119,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/29104,word
MS1.1,http://www.dil.ie/200,word
MS1.1,http://www.dil.ie/37567,word
MS1.1,http://www.dil.ie/17098,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/17752,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/17098,word
MS1.1,http://www.dil.ie/26891,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/17098,word
MS1.1,http://www.dil.ie/17752,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/37567,word
MS1.1,http://www.dil.ie/17098,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/37567,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/29104,word
MS1.1,http://www.dil.ie/24329,word
MS1.1,http://www.dil.ie/4927,word
MS1.1,http://www.dil.ie/3902,word
MS1.1,http://www.dil.ie/24329,word
MS1.1,http://www.dil.ie/29104,word
MS1.1,http://www.dil.ie/27644,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/17098,word
