source,target,type,relationship
MS1.1,g1,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g3,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g4,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g4,directed,glyph
MS1.1,g5,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g5,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g1,directed,glyph
MS1.1,g4,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g3,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g5,directed,glyph
MS1.1,g5,directed,glyph
MS1.1,g3,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g5,directed,glyph
MS1.1,g1,directed,glyph
MS1.1,g5,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g1,directed,glyph
MS1.1,g5,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g2,directed,glyph
MS1.1,g1,directed,glyph
MS1.1,g6,directed,glyph
MS1.1,g1,directed,glyph
MS1.1,g1,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g1,directed,glyph
MS1.2,g2,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g1,directed,glyph
MS1.2,g2,directed,glyph
MS1.2,g2,directed,glyph
MS1.2,g2,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g5,directed,glyph
MS1.2,g2,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g2,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g5,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g2,directed,glyph
MS1.2,g1,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g2,directed,glyph
MS1.2,g1,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g2,directed,glyph
MS1.2,g5,directed,glyph
MS1.2,g1,directed,glyph
MS1.2,g2,directed,glyph
MS1.2,g1,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g5,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g1,directed,glyph
MS1.2,g3,directed,glyph
MS1.2,g4,directed,glyph
